segment,customers,observed_churn_rate,avg_monthly_charge,expected_tenure_months_rmst,estimated_ltv_72m,survival_12m,survival_24m,survival_48m,segment_dimension
At-risk,1761,0.6604202157864849,78.03560477001704,17.47747718739219,1363.865502172326,0.4641435690220918,0.28373774269300195,0.09616009785112632,risk_segment
Healthy,1761,0.01192504258943782,45.953719477569564,71.64181468994994,3292.207855125982,1.0,0.999375,0.9947669190695742,risk_segment
Middle,3521,0.19454700369213293,67.52950866231184,59.71323308755943,4032.4052910409905,0.935288222346401,0.8950178108297667,0.7884089022227314,risk_segment
Month-to-month,3875,0.4270967741935484,66.39849032258066,36.297899901895406,2410.1257553660034,0.703096636348866,0.5859154739046674,0.39726377900972804,Contract
One year,1473,0.11269517990495587,65.04860828241684,66.4174719811293,4320.364118008875,0.9908082040748656,0.9782723764279151,0.9165468041589909,Contract
Two year,1695,0.02831858407079646,60.77041297935103,71.54032845034898,4347.535304606124,1.0,1.0,0.9957189309720451,Contract
